"","ANALYTE_ACCESSION","GENE_SYMBOL","GENE_ALIASES","GENE_ID","GENETIC_NOMENCLATURE_ID","IMMUNOLOGY_SYMBOL","LINK","OFFICIAL_GENE_NAME","PROTEIN_ONTOLOGY_ID","PROTEIN_ONTOLOGY_NAME","PROTEIN_ONTOLOGY_SYNONYMS","PROTEIN_ONTOLOGY_SHORT_LABEL","TAXONOMY_ID","UNIPROT_ENTRY","UNIPROT_ENTRY_NAME"
"30","ANA119","IL10RA","CD210;CD210a;CDW210A;HIL-10R;IL-10R1;IL10R;","3587","HGNC:5964","IL10RA","http://www.ncbi.nlm.nih.gov/gene/3587","interleukin 10 receptor, alpha","PR:Q13651","interleukin-10 receptor subunit alpha (human)","CD210 (human);CDw210a (human);IL-10 receptor subunit alpha (human);IL-10R subunit 1 (human);IL-10R subunit alpha (human);IL-10R1 (human);IL-10RA (human);hIL10RA;interleukin-10 receptor subunit 1 (human)","hIL10RA",9606,"I10R1_HUMAN","Interleukin-10 receptor subunit alpha"
"31","ANA12","CCL20","CKb4;LARC;ST38;MIP3A;MIP-3a;SCYA20;MIP-3-alpha;","6364","HGNC:10619","CCL20","http://www.ncbi.nlm.nih.gov/gene/6364","chemokine (C-C motif) ligand 20","PR:P78556","C-C motif chemokine 20 (human)","CC chemokine LARC (human);MIP-3-alpha (human);beta-chemokine exodus-1 (human);hCCL20;liver and activation-regulated chemokine (human);macrophage inflammatory protein 3 alpha (human);small-inducible cytokine A20 (human)","hCCL20",9606,"CCL20_HUMAN","CCL20(2-70)"
"32","ANA120","IL10RB","CDW210B;CRF2-4;CRFB4;D21S58;D21S66;IL-10R2;","3588","HGNC:5965","IL10RB","http://www.ncbi.nlm.nih.gov/gene/3588","interleukin 10 receptor, beta","PR:Q08334","interleukin-10 receptor subunit beta (human)","CDw210b (human);CRF2-4 (human);IL-10 receptor subunit beta (human);IL-10R subunit 2 (human);IL-10R subunit beta (human);IL-10R2 (human);IL-10RB (human);cytokine receptor class-II member 4 (human);cytokine receptor family 2 member 4 (human);hIL10RB;interleukin-10 receptor subunit 2 (human)","hIL10RB",9606,"I10R2_HUMAN","Interleukin-10 receptor subunit beta"
"33","ANA121","IL11","AGIF;IL-11;","3589","HGNC:5966","IL11","http://www.ncbi.nlm.nih.gov/gene/3589","interleukin 11","PR:P20809","interleukin-11 (human)","AGIF (human);IL-11 (human);adipogenesis inhibitory factor (human);hIL11;oprelvekin (human)","hIL11",9606,"IL11_HUMAN","Interleukin-11"
"34","ANA1","ACKR3","CMKOR1;CXC-R7;CXCR-7;CXCR7;GPR159;RDC-1;RDC1;","57007","HGNC:23692","ACKR3","http://www.ncbi.nlm.nih.gov/gene/57007","atypical chemokine receptor 3","PR:P25106","atypical chemokine receptor 3 (human)","C-X-C chemokine receptor type 7 (human);CXC-R7 (human);CXCR-7 (human);G-protein coupled receptor 159 (human);G-protein coupled receptor RDC1 homolog (human);RDC-1 (human);chemokine orphan receptor 1 (human);hACKR3","hACKR3",9606,"ACKR3_HUMAN","Atypical chemokine receptor 3"
"35","ANA10","CCL19","ELC;CKb11;MIP3B;MIP-3b;SCYA19;","6363","HGNC:10617","CCL19","http://www.ncbi.nlm.nih.gov/gene/6363","chemokine (C-C motif) ligand 19","PR:Q99731","C-C motif chemokine 19 (human)","CK beta-11 (human);EBI1 ligand chemokine (human);MIP-3-beta (human);beta-chemokine exodus-3 (human);epstein-Barr virus-induced molecule 1 ligand chemokine (human);hCCL19;macrophage inflammatory protein 3 beta (human);small-inducible cytokine A19 (human)","hCCL19",9606,"CCL19_HUMAN","C-C motif chemokine 19"
"36","ANA100","IFNA21","LeIF F;leIF-F;IFN-alphaI;","3452","HGNC:5424","IFNA21","http://www.ncbi.nlm.nih.gov/gene/3452","interferon, alpha 21","PR:P01568","interferon alpha-21 (human)","IFN-alpha-21 (human);LeIF F (human);hIFNA21;interferon alpha-F (human)","hIFNA21",9606,"IFN21_HUMAN","Interferon alpha-21"
"37","ANA101","IFNA4","INFA4;IFN-alpha4a;","3441","HGNC:5425","IFNA4","http://www.ncbi.nlm.nih.gov/gene/3441","interferon, alpha 4","PR:P05014","interferon alpha-4 (human)","IFN-alpha-4 (human);hIFNA4;interferon alpha-4B (human);interferon alpha-76 (human);interferon alpha-M1 (human)","hIFNA4",9606,"IFNA4_HUMAN","Interferon alpha-4"
"38","ANA102","IFNA5","INA5;INFA5;leIF G;IFN-alphaG;IFN-alpha-5;","3442","HGNC:5426","IFNA5","http://www.ncbi.nlm.nih.gov/gene/3442","interferon, alpha 5","PR:P01569","interferon alpha-5 (human)","IFN-alpha-5 (human);LeIF G (human);hIFNA5;interferon alpha-61 (human);interferon alpha-G (human)","hIFNA5",9606,"IFNA5_HUMAN","Interferon alpha-5"
"39","ANA103","IFNA6","IFN-alphaK;","3443","HGNC:5427","IFNA6","http://www.ncbi.nlm.nih.gov/gene/3443","interferon, alpha 6","PR:P05013","interferon alpha-6 (human)","IFN-alpha-6 (human);LeIF K (human);hIFNA6;interferon alpha-54 (human);interferon alpha-K (human)","hIFNA6",9606,"IFNA6_HUMAN","Interferon alpha-6"
"40","ANA104","IFNA7","IFNA-J;IFN-alphaJ;","3444","HGNC:5428","IFNA7","http://www.ncbi.nlm.nih.gov/gene/3444","interferon, alpha 7","PR:P01567","interferon alpha-7 (human)","IFN-alpha-7 (human);IFN-alpha-J1 (human);LeIF J (human);hIFNA7;interferon alpha-J (human);interferon alpha-J1 (human)","hIFNA7",9606,"IFNA7_HUMAN","Interferon alpha-7"
"41","ANA105","IFNA8","IFN-alphaB;","3445","HGNC:5429","IFNA8","http://www.ncbi.nlm.nih.gov/gene/3445","interferon, alpha 8","PR:P32881","interferon alpha-8 (human)","IFN-alpha-8 (human);LeIF B (human);hIFNA8;interferon alpha-B (human);interferon alpha-B2 (human)","hIFNA8",9606,"IFNA8_HUMAN","Interferon alpha-8"
"42","ANA106","IFNAR1","AVP;IFN-alpha-REC;IFNAR;IFNBR;IFRC;","3454","HGNC:5432","IFNAR1","http://www.ncbi.nlm.nih.gov/gene/3454","interferon (alpha, beta and omega) receptor 1","PR:P17181","interferon alpha/beta receptor 1 (human)","CRF2-1 (human);IFN-R-1 (human);IFN-alpha/beta receptor 1 (human);cytokine receptor class-II member 1 (human);cytokine receptor family 2 member 1 (human);hIFNAR1;type I interferon receptor 1 (human)","hIFNAR1",9606,"INAR1_HUMAN","Interferon alpha/beta receptor 1"
"43","ANA107","IFNAR2","IFN-R;IFN-alpha-REC;IFNABR;IFNARB;","3455","HGNC:5433","IFNAR2","http://www.ncbi.nlm.nih.gov/gene/3455","interferon (alpha, beta and omega) receptor 2","PR:P48551","interferon alpha/beta receptor 2 (human)","IFN-R-2 (human);IFN-alpha binding protein (human);IFN-alpha/beta receptor 2 (human);hIFNAR2;interferon alpha binding protein (human);type I interferon receptor 2 (human)","hIFNAR2",9606,"INAR2_HUMAN","Interferon alpha/beta receptor 2"
"44","ANA151","IL20RB","hCG_2022374;DIRS1;FNDC6;IL-20R2;","53833","HGNC:6004","IL20RB","http://www.ncbi.nlm.nih.gov/gene/53833","interleukin 20 receptor beta","PR:Q6UXL0","interleukin-20 receptor subunit beta (human)","FNDC6 (human);IL-20 receptor subunit beta (human);IL-20R-beta (human);IL-20R2 (human);IL-20RB (human);fibronectin type III domain containing 6 (human);hIL20RB","hIL20RB",9606,"I20RB_HUMAN","Interleukin-20 receptor subunit beta"
"45","ANA152","IL21","Za11;IL-21;CVID11;","59067","HGNC:6005","IL21","http://www.ncbi.nlm.nih.gov/gene/59067","interleukin 21","PR:Q9HBE4","interleukin-21 (human)","IL-21 (human);Za11 (human);hIL21","hIL21",9606,"IL21_HUMAN","Interleukin-21"
"46","ANA153","IL21R","UNQ3121/PRO10273;CD360;NILR;","50615","HGNC:6006","IL21R","http://www.ncbi.nlm.nih.gov/gene/50615","interleukin 21 receptor","PR:Q9HBE5","interleukin-21 receptor (human)","CD360 (human);IL-21 receptor (human);IL-21R (human);hIL21R;novel interleukin receptor (human)","hIL21R",9606,"IL21R_HUMAN","Interleukin-21 receptor"
"47","ANA154","IL22","TIFa;IL-21;IL-22;ILTIF;IL-TIF;IL-D110;zcyto18;TIFIL-23;","50616","HGNC:14900","IL22","http://www.ncbi.nlm.nih.gov/gene/50616","interleukin 22","PR:Q9GZX6","interleukin-22 (human)","IL-10-related T-cell-derived-inducible factor (human);IL-22 (human);IL-TIF (human);cytokine Zcyto18 (human);hIL22","hIL22",9606,"IL22_HUMAN","Interleukin-22"
"48","ANA155","IL22RA1","CRF2-9;IL22R;IL22R1;","58985","HGNC:13700","IL22RA1","http://www.ncbi.nlm.nih.gov/gene/58985","interleukin 22 receptor, alpha 1","PR:Q8N6P7","interleukin-22 receptor subunit alpha-1 (human)","CRF2-9 (human);IL-22 receptor subunit alpha-1 (human);IL-22R-alpha-1 (human);IL-22RA1 (human);ZcytoR11 (human);cytokine receptor class-II member 9 (human);cytokine receptor family 2 member 9 (human);hIL22RA1","hIL22RA1",9606,"I22R1_HUMAN","Interleukin-22 receptor subunit alpha-1"
"49","ANA156","IL22RA2","UNQ5793/PRO19598/PRO19822;CRF2-10;CRF2-S1;CRF2X;IL-22BP;IL-22R-alpha-2;IL-22RA2;ZCYTOR16;","116379","HGNC:14901","IL22RA2","http://www.ncbi.nlm.nih.gov/gene/116379","interleukin 22 receptor, alpha 2","PR:Q969J5","interleukin-22 receptor subunit alpha-2 (human)","CRF2-10 (human);CRF2-S1 (human);IL-22 receptor subunit alpha-2 (human);IL-22BP (human);IL-22R-alpha-2 (human);IL-22RA2 (human);IL22BP (human);ZcytoR16 (human);cytokine receptor class-II member 10 (human);cytokine receptor family 2 member 10 (human);cytokine receptor family type 2, soluble 1 (human);hIL22RA2;interleukin-22-binding protein (human)","hIL22RA2",9606,"I22R2_HUMAN","Interleukin-22 receptor subunit alpha-2"
"50","ANA157","IL23A","P19;SGRF;IL-23;IL-23A;IL23P19;","51561","HGNC:15488","IL23A","http://www.ncbi.nlm.nih.gov/gene/51561","interleukin 23, alpha subunit p19","PR:Q9NPF7","interleukin-23 subunit alpha (human)","IL-23 subunit alpha (human);IL-23-A (human);IL-23p19 (human);hIL23A;interleukin-23 subunit p19 (human)","hIL23A",9606,"IL23A_HUMAN","Interleukin-23 subunit alpha"
"51","ANA158","IL23R","-","149233","HGNC:19100","IL23R","http://www.ncbi.nlm.nih.gov/gene/149233","interleukin 23 receptor","PR:Q5VWK5","interleukin-23 receptor (human)","IL-23 receptor (human);IL-23R (human);hIL23R","hIL23R",9606,"IL23R_HUMAN","Interleukin-23 receptor"
"52","ANA159","IL24","C49A;FISP;MDA7;MOB5;ST16;IL10B;","11009","HGNC:11346","IL24","http://www.ncbi.nlm.nih.gov/gene/11009","interleukin 24","PR:Q13007","interleukin-24 (human)","IL-24 (human);MDA-7 (human);hIL24;melanoma differentiation-associated gene 7 protein (human);suppression of tumorigenicity 16 protein (human)","hIL24",9606,"IL24_HUMAN","Interleukin-24"
"53","ANA16","CCL24","Ckb-6;MPIF2;MPIF-2;SCYA24;","6369","HGNC:10623","CCL24","http://www.ncbi.nlm.nih.gov/gene/6369","chemokine (C-C motif) ligand 24","PR:O00175","C-C motif chemokine 24 (human)","CK-beta-6 (human);MPIF-2 (human);eosinophil chemotactic protein 2 (human);eotaxin-2 (human);hCCL24;myeloid progenitor inhibitory factor 2 (human);small-inducible cytokine A24 (human)","hCCL24",9606,"CCL24_HUMAN","C-C motif chemokine 24"
"54","ANA160","IL25","IL17E;","64806","HGNC:13765","IL25","http://www.ncbi.nlm.nih.gov/gene/64806","interleukin 25","PR:Q9H293","interleukin-25 (human)","IL-17E (human);IL-25 (human);hIL25;interleukin-17E (human)","hIL25",9606,"IL25_HUMAN","Interleukin-25"
"55","ANA161","IL26","AK155;IL-26;","55801","HGNC:17119","IL26","http://www.ncbi.nlm.nih.gov/gene/55801","interleukin 26","PR:Q9NPH9","interleukin-26 (human)","IL-26 (human);hIL26;protein AK155 (human)","hIL26",9606,"IL26_HUMAN","Interleukin-26"
"56","ANA162","IL27","p28;IL30;IL-27;IL27A;IL-27A;IL27p28;","246778","HGNC:19157","IL27","http://www.ncbi.nlm.nih.gov/gene/246778","interleukin 27","PR:Q8NEV9","interleukin-27 subunit alpha (human)","IL-27 subunit alpha (human);IL-27-A (human);IL27-A (human);hIL27;interleukin-30 (human)","hIL27",9606,"IL27A_HUMAN","Interleukin-27 subunit alpha"
"57","ANA163","IL2RA","RP11-536K7.1;CD25;IDDM10;IL2R;TCGFR;","3559","HGNC:6008","IL2RA","http://www.ncbi.nlm.nih.gov/gene/3559","interleukin 2 receptor, alpha","PR:P01589","interleukin-2 receptor subunit alpha (human)","CD25 (human);IL-2 receptor subunit alpha (human);IL-2-RA (human);IL-2R subunit alpha (human);IL2-RA (human);TAC antigen (human);hIL2RA","hIL2RA",9606,"IL2RA_HUMAN","Interleukin-2 receptor subunit alpha"
"58","ANA164","IL2RB","RP5-1170K4.6;CD122;IL15RB;P70-75;","3560","HGNC:6009","IL2RB","http://www.ncbi.nlm.nih.gov/gene/3560","interleukin 2 receptor, beta","PR:P14784","interleukin-2 receptor subunit beta (human)","CD122 (human);IL-2 receptor subunit beta (human);IL-2R subunit beta (human);IL-2RB (human);hIL2RB;high affinity IL-2 receptor subunit beta (human);interleukin-15 receptor subunit beta (human);p70-75 (human)","hIL2RB",9606,"IL2RB_HUMAN","Interleukin-2 receptor subunit beta"
"59","ANA165","IL2RG","CD132;CIDX;IL-2RG;IMD4;P64;SCIDX;SCIDX1;","3561","HGNC:6010","IL2RG","http://www.ncbi.nlm.nih.gov/gene/3561","interleukin 2 receptor, gamma","PR:P31785","cytokine receptor common subunit gamma (human)","CD132 (human);IL-2 receptor subunit gamma (human);IL-2R subunit gamma (human);IL-2RG (human);gammaC (human);hIL2RG;interleukin-2 receptor subunit gamma (human)","hIL2RG",9606,"IL2RG_HUMAN","Cytokine receptor common subunit gamma"
"60","ANA166","IL3","IL-3;MCGF;MULTI-CSF;","3562","HGNC:6011","IL3","http://www.ncbi.nlm.nih.gov/gene/3562","interleukin 3","PR:P08700","interleukin-3 (human)","IL-3 (human);MCGF (human);P-cell-stimulating factor (human);hIL3;hematopoietic growth factor (human);multipotential colony-stimulating factor (human)","hIL3",9606,"IL3_HUMAN","Interleukin-3"
"61","ANA167","IL31","IL-31;","386653","HGNC:19372","IL31","http://www.ncbi.nlm.nih.gov/gene/386653","interleukin 31","PR:Q6EBC2","interleukin-31 (human)","IL-31 (human);hIL31","hIL31",9606,"IL31_HUMAN","Interleukin-31"
"62","ANA817","IGHM","MU; VH; AGM1","3507","HGNC:5541","IgM","http://www.ncbi.nlm.nih.gov/gene/3507","immunoglobulin heavy constant mu","PR:P01871","immunoglobulin heavy constant mu (human)","Ig mu chain C region (human);Ig mu chain C region BOT (human);Ig mu chain C region GAL (human);Ig mu chain C region OU (human);hIGHM","hIGHM",9606,"IGHM_HUMAN","Immunoglobulin heavy constant mu"
"63","ANA818","PDCD1","PD1; PD-1; CD279; SLEB2; hPD-1; hPD-l; hSLE1","5133","HGNC:8760","PD1","http://www.ncbi.nlm.nih.gov/gene/5133","programmed cell death 1","PR:Q15116","programmed cell death protein 1 (human)","CD279 (human);hPD-1;hPDCD1;protein PD-1 (human)","hPDCD1",9606,"PDCD1_HUMAN","Programmed cell death protein 1"
