"","NAME","UNIPROT_ID","UNIPROT_GENE_NAME","DESCRIPTION","LINK"
"19","O14788","TNF11_HUMAN","TNFSF11","Tumor necrosis factor ligand superfamily member 11","https://www.uniprot.org/uniprot/O14788"
"20","O14798","TR10C_HUMAN","TNFRSF10C","Tumor necrosis factor receptor superfamily member 10C","https://www.uniprot.org/uniprot/O14798"
"21","O14836","TR13B_HUMAN","TNFRSF13B","Tumor necrosis factor receptor superfamily member 13B","https://www.uniprot.org/uniprot/O14836"
"22","O14931","NCTR3_HUMAN","NCR3","Natural cytotoxicity triggering receptor 3","https://www.uniprot.org/uniprot/O14931"
"23","O14960","LECT2_HUMAN","LECT2","Leukocyte cell-derived chemotaxin-2","https://www.uniprot.org/uniprot/O14960"
"24","O15389","SIGL5_HUMAN","SIGLEC5","Sialic acid-binding Ig-like lectin 5","https://www.uniprot.org/uniprot/O15389"
"25","O15444","CCL25_HUMAN","CCL25","C-C motif chemokine 25","https://www.uniprot.org/uniprot/O15444"
"26","O15455","TLR3_HUMAN","TLR3","Toll-like receptor 3","https://www.uniprot.org/uniprot/O15455"
"27","O15467","CCL16_HUMAN","CCL16","C-C motif chemokine 16","https://www.uniprot.org/uniprot/O15467"
"28","O43490","PROM1_HUMAN","PROM1","Prominin-1","https://www.uniprot.org/uniprot/O43490"
"29","O43508","TNF12_HUMAN","TNFSF12","Tumor necrosis factor ligand superfamily member 12","https://www.uniprot.org/uniprot/O43508"
"30","O43557","TNF14_HUMAN","TNFSF14","Tumor necrosis factor ligand superfamily member 14","https://www.uniprot.org/uniprot/O43557"
"31","O43699","SIGL6_HUMAN","SIGLEC6","Sialic acid-binding Ig-like lectin 6","https://www.uniprot.org/uniprot/O43699"
"32","O43915","VEGFD_HUMAN","VEGFD","Vascular endothelial growth factor D","https://www.uniprot.org/uniprot/O43915"
"33","O43927","CXL13_HUMAN","CXCL13","C-X-C motif chemokine 13","https://www.uniprot.org/uniprot/O43927"
"34","O60449","LY75_HUMAN","LY75","Lymphocyte antigen 75","https://www.uniprot.org/uniprot/O60449"
"35","O60486","PLXC1_HUMAN","PLXNC1","Plexin-C1","https://www.uniprot.org/uniprot/O60486"
"36","O60602","TLR5_HUMAN","TLR5","Toll-like receptor 5","https://www.uniprot.org/uniprot/O60602"
"37","O60603","TLR2_HUMAN","TLR2","Toll-like receptor 2","https://www.uniprot.org/uniprot/O60603"
"38","O75015","FCG3B_HUMAN","FCGR3B","Low affinity immunoglobulin gamma Fc region receptor III-B","https://www.uniprot.org/uniprot/O75015"
"39","O75019","LIRA1_HUMAN","LILRA1","Leukocyte immunoglobulin-like receptor subfamily A member 1","https://www.uniprot.org/uniprot/O75019"
"40","O75022","LIRB3_HUMAN","LILRB3","Leukocyte immunoglobulin-like receptor subfamily B member 3","https://www.uniprot.org/uniprot/O75022"
"41","O75023","LIRB5_HUMAN","LILRB5","Leukocyte immunoglobulin-like receptor subfamily B member 5","https://www.uniprot.org/uniprot/O75023"
"42","O75144","ICOSL_HUMAN","ICOSLG","ICOS ligand","https://www.uniprot.org/uniprot/O75144"
"43","O75326","SEM7A_HUMAN","SEMA7A","Semaphorin-7A","https://www.uniprot.org/uniprot/O75326"
"44","O75330","HMMR_HUMAN","HMMR","Hyaluronan mediated motility receptor","https://www.uniprot.org/uniprot/O75330"
"45","O75829","CNMD_HUMAN","CNMD","Leukocyte cell-derived chemotaxin 1","https://www.uniprot.org/uniprot/O75829"
"46","O75888","TNF13_HUMAN","TNFSF13","Tumor necrosis factor ligand superfamily member 13","https://www.uniprot.org/uniprot/O75888"
"47","O76036","NCTR1_HUMAN","NCR1","Natural cytotoxicity triggering receptor 1","https://www.uniprot.org/uniprot/O76036"
"48","O95150","TNF15_HUMAN","TNFSF15","Tumor necrosis factor ligand superfamily member 15","https://www.uniprot.org/uniprot/O95150"
"49","O95256","I18RA_HUMAN","IL18RAP","Interleukin-18 receptor accessory protein","https://www.uniprot.org/uniprot/O95256"
"50","O95715","CXL14_HUMAN","CXCL14","C-X-C motif chemokine 14","https://www.uniprot.org/uniprot/O95715"
"51","O95760","IL33_HUMAN","IL33","Interleukin-33","https://www.uniprot.org/uniprot/O95760"
"52","O95944","NCTR2_HUMAN","NCR2","Natural cytotoxicity triggering receptor 2","https://www.uniprot.org/uniprot/O95944"
"53","O95971","BY55_HUMAN","CD160","CD160 antigen","https://www.uniprot.org/uniprot/O95971"
"54","P00533","EGFR_HUMAN","EGFR","Epidermal growth factor receptor","https://www.uniprot.org/uniprot/P00533"
"55","P01127","PDGFB_HUMAN","PDGFB","Platelet-derived growth factor subunit B","https://www.uniprot.org/uniprot/P01127"
"56","P01133","EGF_HUMAN","EGF","Pro-epidermal growth factor","https://www.uniprot.org/uniprot/P01133"
"57","P01137","TGFB1_HUMAN","TGFB1","Transforming growth factor beta-1 proprotein","https://www.uniprot.org/uniprot/P01137"
"58","P01374","TNFB_HUMAN","LTA","Lymphotoxin-alpha","https://www.uniprot.org/uniprot/P01374"
"59","P01375","TNFA_HUMAN","TNF","Tumor necrosis factor","https://www.uniprot.org/uniprot/P01375"
"60","P01563","IFNA2_HUMAN","IFNA2","Interferon alpha-2","https://www.uniprot.org/uniprot/P01563"
"61","P01566","IFN10_HUMAN","IFNA10","Interferon alpha-10","https://www.uniprot.org/uniprot/P01566"
"62","P01567","IFNA7_HUMAN","IFNA7","Interferon alpha-7","https://www.uniprot.org/uniprot/P01567"
"63","P01568","IFN21_HUMAN","IFNA21","Interferon alpha-21","https://www.uniprot.org/uniprot/P01568"
"64","P01569","IFNA5_HUMAN","IFNA5","Interferon alpha-5","https://www.uniprot.org/uniprot/P01569"
"65","P01570","IFN14_HUMAN","IFNA14","Interferon alpha-14","https://www.uniprot.org/uniprot/P01570"
"66","P01571","IFN17_HUMAN","IFNA17","Interferon alpha-17","https://www.uniprot.org/uniprot/P01571"
"67","P01574","IFNB_HUMAN","IFNB1","Interferon beta","https://www.uniprot.org/uniprot/P01574"
"68","P01579","IFNG_HUMAN","IFNG","Interferon gamma","https://www.uniprot.org/uniprot/P01579"
"69","P01583","IL1A_HUMAN","IL1A","Interleukin-1 alpha","https://www.uniprot.org/uniprot/P01583"
"70","P01584","IL1B_HUMAN","IL1B","Interleukin-1 beta","https://www.uniprot.org/uniprot/P01584"
"71","P01588","EPO_HUMAN","EPO","Erythropoietin","https://www.uniprot.org/uniprot/P01588"
"72","P01589","IL2RA_HUMAN","IL2RA","Interleukin-2 receptor subunit alpha","https://www.uniprot.org/uniprot/P01589"
"73","P01730","CD4_HUMAN","CD4","T-cell surface glycoprotein CD4","https://www.uniprot.org/uniprot/P01730"
"74","P01732","CD8A_HUMAN","CD8A","T-cell surface glycoprotein CD8 alpha chain","https://www.uniprot.org/uniprot/P01732"
"75","P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu","https://www.uniprot.org/uniprot/P01871"
"76","P01876","IGHA1_HUMAN","IGHA1","Immunoglobulin heavy constant alpha 1","https://www.uniprot.org/uniprot/P01876"
"77","P01877","IGHA2_HUMAN","IGHA2","Immunoglobulin heavy constant alpha 2","https://www.uniprot.org/uniprot/P01877"
"78","P01880","IGHD_HUMAN","IGHD","Immunoglobulin heavy constant delta","https://www.uniprot.org/uniprot/P01880"
"79","P01892","HLAA_HUMAN","HLA-A","HLA class I histocompatibility antigen, A alpha chain","https://www.uniprot.org/uniprot/P04439"
"80","P01903","DRA_HUMAN","HLA-DRA","HLA class II histocompatibility antigen, DR alpha chain","https://www.uniprot.org/uniprot/P01903"
"81","P02724","GLPA_HUMAN","GYPA","Glycophorin-A","https://www.uniprot.org/uniprot/P02724"
"82","P02730","B3AT_HUMAN","SLC4A1","Band 3 anion transport protein","https://www.uniprot.org/uniprot/P02730"
"83","P02775","CXCL7_HUMAN","PPBP","Platelet basic protein","https://www.uniprot.org/uniprot/P02775"
"84","P02776","PLF4_HUMAN","PF4","Platelet factor 4","https://www.uniprot.org/uniprot/P02776"
"85","P02778","CXL10_HUMAN","CXCL10","C-X-C motif chemokine 10","https://www.uniprot.org/uniprot/P02778"
"86","P02786","TFR1_HUMAN","TFRC","Transferrin receptor protein 1","https://www.uniprot.org/uniprot/P02786"
"87","P04085","PDGFA_HUMAN","PDGFA","Platelet-derived growth factor subunit A","https://www.uniprot.org/uniprot/P04085"
"88","P04141","CSF2_HUMAN","CSF2","Granulocyte-macrophage colony-stimulating factor","https://www.uniprot.org/uniprot/P04141"
"89","P04216","THY1_HUMAN","THY1","Thy-1 membrane glycoprotein","https://www.uniprot.org/uniprot/P04216"
"90","P04233","HG2A_HUMAN","CD74","HLA class II histocompatibility antigen gamma chain","https://www.uniprot.org/uniprot/P04233"
"91","P04234","CD3D_HUMAN","CD3D","T-cell surface glycoprotein CD3 delta chain","https://www.uniprot.org/uniprot/P04234"
"92","P04626","ERBB2_HUMAN","ERBB2","Receptor tyrosine-protein kinase erbB-2","https://www.uniprot.org/uniprot/P04626"
"93","P04921","GLPC_HUMAN","GYPC","Glycophorin-C","https://www.uniprot.org/uniprot/P04921"
"94","P05013","IFNA6_HUMAN","IFNA6","Interferon alpha-6","https://www.uniprot.org/uniprot/P05013"
"95","P05014","IFNA4_HUMAN","IFNA4","Interferon alpha-4","https://www.uniprot.org/uniprot/P05014"
"96","P05015","IFN16_HUMAN","IFNA16","Interferon alpha-16","https://www.uniprot.org/uniprot/P05015"
"97","P05106","ITB3_HUMAN","ITGB3","Integrin beta-3","https://www.uniprot.org/uniprot/P05106"
"98","P05107","ITB2_HUMAN","ITGB2","Integrin beta-2","https://www.uniprot.org/uniprot/P05107"
"99","P05112","IL4_HUMAN","IL4","Interleukin-4","https://www.uniprot.org/uniprot/P05112"
"100","P05113","IL5_HUMAN","IL5","Interleukin-5","https://www.uniprot.org/uniprot/P05113"
"101","P05230","FGF1_HUMAN","FGF1","Fibroblast growth factor 1","https://www.uniprot.org/uniprot/P05230"
"102","P05231","IL6_HUMAN","IL6","Interleukin-6","https://www.uniprot.org/uniprot/P05231"
"103","P05556","ITB1_HUMAN","ITGB1","Integrin beta-1","https://www.uniprot.org/uniprot/P05556"
"104","P06028","GLPB_HUMAN","GYPB","Glycophorin-B","https://www.uniprot.org/uniprot/P06028"
"105","P06126","CD1A_HUMAN","CD1A","T-cell surface glycoprotein CD1a","https://www.uniprot.org/uniprot/P06126"
"106","P06127","CD5_HUMAN","CD5","T-cell surface glycoprotein CD5","https://www.uniprot.org/uniprot/P06127"
"107","P06213","INSR_HUMAN","INSR","Insulin receptor","https://www.uniprot.org/uniprot/P06213"
"108","P06729","CD2_HUMAN","CD2","T-cell surface antigen CD2","https://www.uniprot.org/uniprot/P06729"
"109","P06731","CEAM5_HUMAN","CEACAM5","Carcinoembryonic antigen-related cell adhesion molecule 5","https://www.uniprot.org/uniprot/P06731"
"110","P06734","FCER2_HUMAN","FCER2","Low affinity immunoglobulin epsilon Fc receptor","https://www.uniprot.org/uniprot/P06734"
"111","P06756","ITAV_HUMAN","ITGAV","Integrin alpha-V","https://www.uniprot.org/uniprot/P06756"
"112","P07199","CENPB_HUMAN","CENPB","Major centromere autoantigen B","https://www.uniprot.org/uniprot/P07199"
"113","P07204","TRBM_HUMAN","THBD","Thrombomodulin","https://www.uniprot.org/uniprot/P07204"
"114","P07333","CSF1R_HUMAN","CSF1R","Macrophage colony-stimulating factor 1 receptor","https://www.uniprot.org/uniprot/P07333"
"115","P07359","GP1BA_HUMAN","GP1BA","Platelet glycoprotein Ib alpha chain","https://www.uniprot.org/uniprot/P07359"
"116","P07766","CD3E_HUMAN","CD3E","T-cell surface glycoprotein CD3 epsilon chain","https://www.uniprot.org/uniprot/P07766"
"117","P08069","IGF1R_HUMAN","IGF1R","Insulin-like growth factor 1 receptor","https://www.uniprot.org/uniprot/P08069"
"118","P08138","TNR16_HUMAN","NGFR","Tumor necrosis factor receptor superfamily member 16","https://www.uniprot.org/uniprot/P08138"
"119","P08174","DAF_HUMAN","CD55","Complement decay-accelerating factor","https://www.uniprot.org/uniprot/P08174"
"120","P08183","MDR1_HUMAN","ABCB1","ATP-dependent translocase ABCB1","https://www.uniprot.org/uniprot/P08183"
"121","P08473","NEP_HUMAN","MME","Neprilysin","https://www.uniprot.org/uniprot/P08473"
"122","P08514","ITA2B_HUMAN","ITGA2B","Integrin alpha-IIb","https://www.uniprot.org/uniprot/P08514"
"123","P08571","CD14_HUMAN","CD14","Monocyte differentiation antigen CD14","https://www.uniprot.org/uniprot/P08571"
"124","P08575","PTPRC_HUMAN","PTPRC","Receptor-type tyrosine-protein phosphatase C","https://www.uniprot.org/uniprot/P08575"
"125","P08581","MET_HUMAN","MET","Hepatocyte growth factor receptor","https://www.uniprot.org/uniprot/P08581"
"126","P08582","TRFM_HUMAN","MELTF","Melanotransferrin","https://www.uniprot.org/uniprot/P08582"
"127","P08637","FCG3A_HUMAN","FCGR3A","Low affinity immunoglobulin gamma Fc region receptor III-A","https://www.uniprot.org/uniprot/P08637"
"128","P08648","ITA5_HUMAN","ITGA5","Integrin alpha-5","https://www.uniprot.org/uniprot/P08648"
"129","P08700","IL3_HUMAN","IL3","Interleukin-3","https://www.uniprot.org/uniprot/P08700"
"130","P08758","ANXA5_HUMAN","ANXA5","Annexin A5","https://www.uniprot.org/uniprot/P08758"
"131","P08887","IL6RA_HUMAN","IL6R","Interleukin-6 receptor subunit alpha","https://www.uniprot.org/uniprot/P08887"
"132","P08962","CD63_HUMAN","CD63","CD63 antigen","https://www.uniprot.org/uniprot/P08962"
"133","P09038","FGF2_HUMAN","FGF2","Fibroblast growth factor 2","https://www.uniprot.org/uniprot/P09038"
"134","P09326","CD48_HUMAN","CD48","CD48 antigen","https://www.uniprot.org/uniprot/P09326"
"135","P09341","GROA_HUMAN","CXCL1","Growth-regulated alpha protein","https://www.uniprot.org/uniprot/P09341"
"136","P09564","CD7_HUMAN","CD7","T-cell antigen CD7","https://www.uniprot.org/uniprot/P09564"
"137","P09603","CSF1_HUMAN","CSF1","Macrophage colony-stimulating factor 1","https://www.uniprot.org/uniprot/P09603"
"138","P09619","PGFRB_HUMAN","PDGFRB","Platelet-derived growth factor receptor beta","https://www.uniprot.org/uniprot/P09619"
"139","P09693","CD3G_HUMAN","CD3G","T-cell surface glycoprotein CD3 gamma chain","https://www.uniprot.org/uniprot/P09693"
"140","P09919","CSF3_HUMAN","CSF3","Granulocyte colony-stimulating factor","https://www.uniprot.org/uniprot/P09919"
"141","P10144","GRAB_HUMAN","GZMB","Granzyme B","https://www.uniprot.org/uniprot/P10144"
"142","P10145","IL8_HUMAN","CXCL8","Interleukin-8","https://www.uniprot.org/uniprot/P10145"
"143","P10147","CCL3_HUMAN","CCL3","C-C motif chemokine 3","https://www.uniprot.org/uniprot/P10147"
"144","P10415","BCL2_HUMAN","BCL2","Apoptosis regulator Bcl-2","https://www.uniprot.org/uniprot/P10415"
"145","P10451","OSTP_HUMAN","SPP1","Osteopontin","https://www.uniprot.org/uniprot/P10451"
"146","P10600","TGFB3_HUMAN","TGFB3","Transforming growth factor beta-3 proprotein","https://www.uniprot.org/uniprot/P10600"
"147","P10720","PF4V_HUMAN","PF4V1","Platelet factor 4 variant","https://www.uniprot.org/uniprot/P10720"
"148","P10721","KIT_HUMAN","KIT","Mast/stem cell growth factor receptor Kit","https://www.uniprot.org/uniprot/P10721"
"149","P10747","CD28_HUMAN","CD28","T-cell-specific surface glycoprotein CD28","https://www.uniprot.org/uniprot/P10747"
"150","P10966","CD8B_HUMAN","CD8B","T-cell surface glycoprotein CD8 beta chain","https://www.uniprot.org/uniprot/P10966"
"151","P11049","CD37_HUMAN","CD37","Leukocyte antigen CD37","https://www.uniprot.org/uniprot/P11049"
"152","P11215","ITAM_HUMAN","ITGAM","Integrin alpha-M","https://www.uniprot.org/uniprot/P11215"
"153","P11279","LAMP1_HUMAN","LAMP1","Lysosome-associated membrane glycoprotein 1","https://www.uniprot.org/uniprot/P11279"
"154","P11362","FGFR1_HUMAN","FGFR1","Fibroblast growth factor receptor 1","https://www.uniprot.org/uniprot/P11362"
"155","P11464","PSG1_HUMAN","PSG1","Pregnancy-specific beta-1-glycoprotein 1","https://www.uniprot.org/uniprot/P11464"
"156","P11717","MPRI_HUMAN","IGF2R","Cation-independent mannose-6-phosphate receptor","https://www.uniprot.org/uniprot/P11717"
"157","P11836","CD20_HUMAN","MS4A1","B-lymphocyte antigen CD20","https://www.uniprot.org/uniprot/P11836"
"158","P11912","CD79A_HUMAN","CD79A","B-cell antigen receptor complex-associated protein alpha chain","https://www.uniprot.org/uniprot/P11912"
"159","P12018","VPREB_HUMAN","VPREB1","Immunoglobulin iota chain","https://www.uniprot.org/uniprot/P12018"
"160","P12314","FCGR1_HUMAN","FCGR1A","High affinity immunoglobulin gamma Fc receptor I","https://www.uniprot.org/uniprot/P12314"
"161","P12318","FCG2A_HUMAN","FCGR2A","Low affinity immunoglobulin gamma Fc region receptor II-a","https://www.uniprot.org/uniprot/P12318"
"162","P12821","ACE_HUMAN","ACE","Angiotensin-converting enzyme","https://www.uniprot.org/uniprot/P12821"
"163","P12830","CADH1_HUMAN","CDH1","Cadherin-1","https://www.uniprot.org/uniprot/P12830"
"164","P13164","IFM1_HUMAN","IFITM1","Interferon-induced transmembrane protein 1","https://www.uniprot.org/uniprot/P13164"
"165","P13224","GP1BB_HUMAN","GP1BB","Platelet glycoprotein Ib beta chain","https://www.uniprot.org/uniprot/P13224"
"166","P13232","IL7_HUMAN","IL7","Interleukin-7","https://www.uniprot.org/uniprot/P13232"
"167","P13236","CCL4_HUMAN","CCL4","C-C motif chemokine 4","https://www.uniprot.org/uniprot/P13236"
"168","P13473","LAMP2_HUMAN","LAMP2","Lysosome-associated membrane glycoprotein 2","https://www.uniprot.org/uniprot/P13473"
"169","P13500","CCL2_HUMAN","CCL2","C-C motif chemokine 2","https://www.uniprot.org/uniprot/P13500"
"170","P13501","CCL5_HUMAN","CCL5","C-C motif chemokine 5","https://www.uniprot.org/uniprot/P13501"
"171","P13591","NCAM1_HUMAN","NCAM1","Neural cell adhesion molecule 1","https://www.uniprot.org/uniprot/P13591"
"172","P13598","ICAM2_HUMAN","ICAM2","Intercellular adhesion molecule 2","https://www.uniprot.org/uniprot/P13598"
"173","P13612","ITA4_HUMAN","ITGA4","Integrin alpha-4","https://www.uniprot.org/uniprot/P13612"
"174","P13688","CEAM1_HUMAN","CEACAM1","Carcinoembryonic antigen-related cell adhesion molecule 1","https://www.uniprot.org/uniprot/P13688"
"175","P13725","ONCM_HUMAN","OSM","Oncostatin-M","https://www.uniprot.org/uniprot/P13725"
"176","P13726","TF_HUMAN","F3","Tissue factor","https://www.uniprot.org/uniprot/P13726"
"177","P13747","HLAE_HUMAN","HLA-E","HLA class I histocompatibility antigen, alpha chain E","https://www.uniprot.org/uniprot/P13747"
"178","P13987","CD59_HUMAN","CD59","CD59 glycoprotein","https://www.uniprot.org/uniprot/P13987"
"179","P14151","LYAM1_HUMAN","SELL","L-selectin","https://www.uniprot.org/uniprot/P14151"
"180","P14174","MIF_HUMAN","MIF","Macrophage migration inhibitory factor","https://www.uniprot.org/uniprot/P14174"
"181","P14209","CD99_HUMAN","CD99","CD99 antigen","https://www.uniprot.org/uniprot/P14209"
"182","P14210","HGF_HUMAN","HGF","Hepatocyte growth factor","https://www.uniprot.org/uniprot/P14210"
"183","P14222","PERF_HUMAN","PRF1","Perforin-1","https://www.uniprot.org/uniprot/P14222"
"184","P14770","GPIX_HUMAN","GP9","Platelet glycoprotein IX","https://www.uniprot.org/uniprot/P14770"
"185","P14778","IL1R1_HUMAN","IL1R1","Interleukin-1 receptor type 1","https://www.uniprot.org/uniprot/P14778"
"186","P14784","IL2RB_HUMAN","IL2RB","Interleukin-2 receptor subunit beta","https://www.uniprot.org/uniprot/P14784"
"187","P15018","LIF_HUMAN","LIF","Leukemia inhibitory factor","https://www.uniprot.org/uniprot/P15018"
"188","P15144","AMPN_HUMAN","ANPEP","Aminopeptidase N","https://www.uniprot.org/uniprot/P15144"
"189","P15151","PVR_HUMAN","PVR","Poliovirus receptor","https://www.uniprot.org/uniprot/P15151"
"190","P15248","IL9_HUMAN","IL9","Interleukin-9","https://www.uniprot.org/uniprot/P15248"
"191","P15260","INGR1_HUMAN","IFNGR1","Interferon gamma receptor 1","https://www.uniprot.org/uniprot/P15260"
"192","P15391","CD19_HUMAN","CD19","B-lymphocyte antigen CD19","https://www.uniprot.org/uniprot/P15391"
"193","P15509","CSF2R_HUMAN","CSF2RA","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","https://www.uniprot.org/uniprot/P15509"
"194","P15529","MCP_HUMAN","CD46","Membrane cofactor protein","https://www.uniprot.org/uniprot/P15529"
"195","P15812","CD1E_HUMAN","CD1E","T-cell surface glycoprotein CD1e, membrane-associated","https://www.uniprot.org/uniprot/P15812"
"196","P15813","CD1D_HUMAN","CD1D","Antigen-presenting glycoprotein CD1d","https://www.uniprot.org/uniprot/P15813"
"197","P15814","IGLL1_HUMAN","IGLL1","Immunoglobulin lambda-like polypeptide 1","https://www.uniprot.org/uniprot/P15814"
"198","P15941","MUC1_HUMAN","MUC1","Mucin-1","https://www.uniprot.org/uniprot/P15941"
"199","P16070","CD44_HUMAN","CD44","CD44 antigen","https://www.uniprot.org/uniprot/P16070"
"200","P16109","LYAM3_HUMAN","SELP","P-selectin","https://www.uniprot.org/uniprot/P16109"
"201","P16144","ITB4_HUMAN","ITGB4","Integrin beta-4","https://www.uniprot.org/uniprot/P16144"
"202","P16150","LEUK_HUMAN","SPN","Leukosialin","https://www.uniprot.org/uniprot/P16150"
"203","P16234","PGFRA_HUMAN","PDGFRA","Platelet-derived growth factor receptor alpha","https://www.uniprot.org/uniprot/P16234"
"204","P16284","PECA1_HUMAN","PECAM1","Platelet endothelial cell adhesion molecule","https://www.uniprot.org/uniprot/P16284"
"205","P16410","CTLA4_HUMAN","CTLA4","Cytotoxic T-lymphocyte protein 4","https://www.uniprot.org/uniprot/P16410"
"206","P16422","EPCAM_HUMAN","EPCAM","Epithelial cell adhesion molecule","https://www.uniprot.org/uniprot/P16422"
"207","P16581","LYAM2_HUMAN","SELE","E-selectin","https://www.uniprot.org/uniprot/P16581"
"208","P16619","CL3L1_HUMAN","CCL3L3","C-C motif chemokine 3-like 1","https://www.uniprot.org/uniprot/P16619"
"209","P16671","CD36_HUMAN","CD36","Platelet glycoprotein 4","https://www.uniprot.org/uniprot/P16671"
"210","P16871","IL7RA_HUMAN","IL7R","Interleukin-7 receptor subunit alpha","https://www.uniprot.org/uniprot/P16871"
"211","P17181","INAR1_HUMAN","IFNAR1","Interferon alpha/beta receptor 1","https://www.uniprot.org/uniprot/P17181"
"212","P17301","ITA2_HUMAN","ITGA2","Integrin alpha-2","https://www.uniprot.org/uniprot/P17301"
"213","P17693","HLAG_HUMAN","HLA-G","HLA class I histocompatibility antigen, alpha chain G","https://www.uniprot.org/uniprot/P17693"
"214","P17813","EGLN_HUMAN","ENG","Endoglin","https://www.uniprot.org/uniprot/P17813"
"215","P17927","CR1_HUMAN","CR1","Complement receptor type 1","https://www.uniprot.org/uniprot/P17927"
"216","P18510","IL1RA_HUMAN","IL1RN","Interleukin-1 receptor antagonist protein","https://www.uniprot.org/uniprot/P18510"
"217","P18577","RHCE_HUMAN","RHCE","Blood group Rh(CE) polypeptide","https://www.uniprot.org/uniprot/P18577"
"218","P18627","LAG3_HUMAN","LAG3","Lymphocyte activation gene 3 protein","https://www.uniprot.org/uniprot/P18627"
"219","P18827","SDC1_HUMAN","SDC1","Syndecan-1","https://www.uniprot.org/uniprot/P18827"
"220","P19022","CADH2_HUMAN","CDH2","Cadherin-2","https://www.uniprot.org/uniprot/P19022"
"221","P19235","EPOR_HUMAN","EPOR","Erythropoietin receptor","https://www.uniprot.org/uniprot/P19235"
"222","P19256","LFA3_HUMAN","CD58","Lymphocyte function-associated antigen 3","https://www.uniprot.org/uniprot/P19256"
"223","P19397","CD53_HUMAN","CD53","Leukocyte surface antigen CD53","https://www.uniprot.org/uniprot/P19397"
"224","P19438","TNR1A_HUMAN","TNFRSF1A","Tumor necrosis factor receptor superfamily member 1A","https://www.uniprot.org/uniprot/P19438"
"225","P19440","GGT1_HUMAN","GGT1","Glutathione hydrolase 1 proenzyme","https://www.uniprot.org/uniprot/P19440"
"226","P19875","CXCL2_HUMAN","CXCL2","C-X-C motif chemokine 2","https://www.uniprot.org/uniprot/P19875"
"227","P19876","CXCL3_HUMAN","CXCL3","C-X-C motif chemokine 3","https://www.uniprot.org/uniprot/P19876"
"228","P20023","CR2_HUMAN","CR2","Complement receptor type 2","https://www.uniprot.org/uniprot/P20023"
"229","P20138","CD33_HUMAN","CD33","Myeloid cell surface antigen CD33","https://www.uniprot.org/uniprot/P20138"
"230","P20273","CD22_HUMAN","CD22","B-cell receptor CD22","https://www.uniprot.org/uniprot/P20273"
"231","P20333","TNR1B_HUMAN","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B","https://www.uniprot.org/uniprot/P20333"
"232","P20701","ITAL_HUMAN","ITGAL","Integrin alpha-L","https://www.uniprot.org/uniprot/P20701"
"233","P20702","ITAX_HUMAN","ITGAX","Integrin alpha-X","https://www.uniprot.org/uniprot/P20702"
"234","P20809","IL11_HUMAN","IL11","Interleukin-11","https://www.uniprot.org/uniprot/P20809"
